"Task_ID","Category","Subcategory","Task_Name","Status","Priority","Dependency","Owner","Source_File","Notes"
"TASK-0052","Operations","Detection","Monthly review of utility ranges in Utilities Tracker","Not Started","Medium","None","Owner","10_Maintenance\MAINTENANCE_STRATEGY.md","HVAC inefficiency detection"
"TASK-0053","Operations","Prevention","Check 468"" patio hardware for UV wear and stability","Not Started","Medium","None","Owner","10_Maintenance\MAINTENANCE_STRATEGY.md","Outdoor staging safety"
"TASK-0054","Operations","Feedback Loop","Run KPI Command Center weekly","Not Started","High","None","Owner","11_Analytics_Performance\ANALYTICS_STRATEGY.md","Data-driven hospitality"
"TASK-0055","Operations","Conversion","Refresh listing copy if view-to-booking conversion < 2%","Not Started","High","None","Owner","11_Analytics_Performance\ANALYTICS_STRATEGY.md","Conversion Funnel management"
"TASK-0056","Operations","Profitability","Review pricing strategy if RevPAR < $165 for 2 consecutive weeks","Not Started","High","None","Owner","11_Analytics_Performance\ANALYTICS_STRATEGY.md","Yield optimization"
"TASK-1000","Planning","02_Market_Research","True","True","True","True","True","01_Planning\02_Market_Research\2026-04-01__02_Market_Research_Tracker__v1.csv","True"
"TASK-1001","Planning","02_Market_Research","True","True","True","True","True","01_Planning\02_Market_Research\2026-04-01__02_Market_Research_Tracker__v1.csv","True"
"TASK-1002","Planning","02_Market_Research","True","True","True","True","True","01_Planning\02_Market_Research\2026-04-01__02_Market_Research_Tracker__v1.csv","True"
"TASK-1003","Planning","02_Market_Research","True","True","True","True","True","01_Planning\02_Market_Research\2026-04-01__02_Market_Research_Tracker__v1.csv","True"
"TASK-1004","Planning","02_Market_Research","True","True","True","True","True","01_Planning\02_Market_Research\2026-04-01__02_Market_Research_Tracker__v1.csv","True"
"TASK-1005","Planning","02_Market_Research","True","True","True","True","True","01_Planning\02_Market_Research\2026-04-01__02_Market_Research_Tracker__v1.csv","True"
"TASK-1006","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1007","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1008","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1009","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1010","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1011","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1012","Planning","03_Budgeting","True","True","True","True","True","01_Planning\03_Budgeting\2026-04-01__03_Budgeting_Tracker__v1.csv","True"
"TASK-1013","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1014","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1015","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1016","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1017","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1018","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1019","Planning","04_Project_Timeline","True","True","True","True","True","01_Planning\04_Project_Timeline\2026-04-01__04_Project_Timeline_Tracker__v1.csv","True"
"TASK-1020","Property_Design","03_Brand_Style_Themes","Confirm one Austin art focal piece per target area","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1021","Property_Design","03_Brand_Style_Themes","Align color palette with whole-home system","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1022","Property_Design","03_Brand_Style_Themes","Confirm materials are STR-durable","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1023","Property_Design","03_Brand_Style_Themes","Master Bedroom set to Hill Country Retreat","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1024","Property_Design","03_Brand_Style_Themes","Secondary Bedroom #1 set to South Congress Studio","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1025","Property_Design","03_Brand_Style_Themes","Secondary Bedroom #2 set to Barton Springs Calm","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1026","Property_Design","03_Brand_Style_Themes","Den set to Live Oak Creative Lounge","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1027","Property_Design","03_Brand_Style_Themes","Covered Patio set to Texas Sunset Social Deck","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1028","Property_Design","03_Brand_Style_Themes","No duplicate ""copy-paste"" styling across sister rooms","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1029","Property_Design","03_Brand_Style_Themes","No conflicting accent palettes between adjacent spaces","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1030","Property_Design","03_Brand_Style_Themes","All art choices reviewed for licensing/print quality","Not Started","UNKNOWN","None","Owner","02_Property_Design\03_Brand_Style_Themes\03_Execution_Staging\2026-04-01__Brand_Style_Action_Checklist__v1.md","Granular task from checklist"
"TASK-1031","Property_Design","04_Safety_Accessibility","142"" Kitchen island: All stools are stable and non-slip.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\02_Hazard_Mitigation\Property_Hazard_Audit_Checklist.md","Granular task from checklist"
"TASK-1032","Property_Design","04_Safety_Accessibility","158"" Hallway: Nightlights functional.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\02_Hazard_Mitigation\Property_Hazard_Audit_Checklist.md","Granular task from checklist"
"TASK-1033","Property_Design","04_Safety_Accessibility","Patio (468""x120""): Pavers level, no trip hazards at the sliding door threshold.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\02_Hazard_Mitigation\Property_Hazard_Audit_Checklist.md","Granular task from checklist"
"TASK-1034","Property_Design","04_Safety_Accessibility","Den: Sleeper sofa mechanism lubricated and safe for guest operation.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\02_Hazard_Mitigation\Property_Hazard_Audit_Checklist.md","Granular task from checklist"
"TASK-1035","Property_Design","04_Safety_Accessibility","All cleaning chemicals stored in locked cabinet under kitchen sink.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\02_Hazard_Mitigation\Property_Hazard_Audit_Checklist.md","Granular task from checklist"
"TASK-1036","Property_Design","04_Safety_Accessibility","**Signage:** STR License posted in 60"" Main Entry.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1037","Property_Design","04_Safety_Accessibility","**Signage:** Emergency Exit map posted in Mudroom (98""x43"").","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1038","Property_Design","04_Safety_Accessibility","**Suppression:** Fire extinguisher (5lb) tagged and visible in Kitchen.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1039","Property_Design","04_Safety_Accessibility","**Detection:** Smoke/CO detectors interconnected and testing green.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1040","Property_Design","04_Safety_Accessibility","**Occupancy:** Primary Bedroom (2), Bedroom 2 (2), Bedroom 3 (2), Den (2) + 2 = 10 Max.","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1041","Property_Design","04_Safety_Accessibility","**Exterior:** Address numbers (7513) clearly visible from the street (4"" min height).","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1042","Property_Design","04_Safety_Accessibility","**Safety:** No frayed cords or exposed wiring in the Living Room (300""x163"").","Not Started","UNKNOWN","None","Owner","02_Property_Design\04_Safety_Accessibility\05_Compliance_and_Regulations\STR_Compliance_Checklist.md","Granular task from checklist"
"TASK-1043","Furnishing_Procurement","01_Strategy_and_Budget","**Search FB Marketplace:** ""West Elm"", ""Pottery Barn"", ""CB2"", ""Solid Wood"" within 20 miles.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\01_Strategy_and_Budget\Budget_and_Source_Tracker.md","Granular task from checklist"
"TASK-1044","Furnishing_Procurement","01_Strategy_and_Budget","**Visit City-Wide Vintage Sale:** Austin, TX (Target: Art, Lamps, Oddities).","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\01_Strategy_and_Budget\Budget_and_Source_Tracker.md","Granular task from checklist"
"TASK-1045","Furnishing_Procurement","01_Strategy_and_Budget","**Check Round Top Antiques:** (Target: Statement Patio furniture).","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\01_Strategy_and_Budget\Budget_and_Source_Tracker.md","Granular task from checklist"
"TASK-1046","Furnishing_Procurement","03_Scavenging_and_Sourcing","**Sectional Sofa:** Target $600 max. Focus on ""West Elm"" or ""Interior Define"".","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\03_Scavenging_and_Sourcing\2026-04-01__Active_Sourcing_and_Contact_Log__v1.md","Granular task from checklist"
"TASK-1047","Furnishing_Procurement","03_Scavenging_and_Sourcing","**Dining Set:** Target $200 max. Solid wood only.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\03_Scavenging_and_Sourcing\2026-04-01__Active_Sourcing_and_Contact_Log__v1.md","Granular task from checklist"
"TASK-1048","Furnishing_Procurement","03_Scavenging_and_Sourcing","**Bunkbeds:** Target $300 max. Metal or hard wood frames.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\03_Scavenging_and_Sourcing\2026-04-01__Active_Sourcing_and_Contact_Log__v1.md","Granular task from checklist"
"TASK-1049","Furnishing_Procurement","04_Restoration_and_DIY","**Project: Gallery Wall (Entryway):** Source 5 vintage Austin prints ($5-10 each) + Thrifted mismatched wood frames ($2-5 each).","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1050","Furnishing_Procurement","04_Restoration_and_DIY","**Project: Den Reading Nook:** Re-paint thrifted bookshelf in ""Dark Shell"" to match theme.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1051","Furnishing_Procurement","04_Restoration_and_DIY","**Project: Kitchen Spice Rack:** Upcycle wooden crate into a wall-mounted lazy susan.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1052","Furnishing_Procurement","04_Restoration_and_DIY","Sandpaper (60, 120, 220, 320 grit)","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1053","Furnishing_Procurement","04_Restoration_and_DIY","Wood glue (Titebond III)","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1054","Furnishing_Procurement","04_Restoration_and_DIY","""Shell"" colored paint (Low VOC)","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1055","Furnishing_Procurement","04_Restoration_and_DIY","Matte Black spray paint (For metal frames/hardware)","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1056","Furnishing_Procurement","04_Restoration_and_DIY","Mineral Spirits / Goo Gone","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\04_Restoration_and_DIY\Restoration_and_DIY_Log.md","Granular task from checklist"
"TASK-1057","Furnishing_Procurement","05_Logistics_and_Delivery","Move item to exact [Staging Execution Log](../../04_Setup_Execution/03_Furniture_and_Staging_Execution/2026-04-01__Staging_Execution_Log__v1.md) coordinates.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\05_Logistics_and_Delivery\2026-04-01__Logistics_and_Staging_Master__v1.md","Granular task from checklist"
"TASK-1058","Furnishing_Procurement","05_Logistics_and_Delivery","Install felt pads on all legs.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\05_Logistics_and_Delivery\2026-04-01__Logistics_and_Staging_Master__v1.md","Granular task from checklist"
"TASK-1059","Furnishing_Procurement","05_Logistics_and_Delivery","Remove all transport debris and protection tape.","Not Started","UNKNOWN","None","Owner","03_Furnishing_Procurement\05_Logistics_and_Delivery\2026-04-01__Logistics_and_Staging_Master__v1.md","Granular task from checklist"
"TASK-1060","Setup_Execution","03_Furniture_and_Staging_Execution","**Sectional Placement:** Position the L-sectional to face the 300"" wall; ensure 48"" clearance from the 142"" Kitchen Island.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1061","Setup_Execution","03_Furniture_and_Staging_Execution","**Rug Alignment:** Center the 10'x14' rug; front legs of the sofa must be 6"" onto the rug.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1062","Setup_Execution","03_Furniture_and_Staging_Execution","**Coffee Table:** Centralize between the sectional wings; verify 18"" ""knee clearance"" from the sofa edge.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1063","Setup_Execution","03_Furniture_and_Staging_Execution","**Island Seating:** Place 4 counter stools at exactly 35"" intervals along the 142"" island face.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1064","Setup_Execution","03_Furniture_and_Staging_Execution","**Dining Table:** Center under the primary light fixture; ensure 36"" chair-pull clearance from the walls.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1065","Setup_Execution","03_Furniture_and_Staging_Execution","**Bed Assembly:** Center the King frame on the primary wall; verify 30"" clearance on both sides for nightstands.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1066","Setup_Execution","03_Furniture_and_Staging_Execution","**The ""Triple-Sheet"":** Execute the triple-sheet bedding method with 90-degree fluffed pillows.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1067","Setup_Execution","03_Furniture_and_Staging_Execution","**Rug:** 8'x10' rug placed 3/4 under the bed, leaving 24"" of rug exposed at the foot.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1068","Setup_Execution","03_Furniture_and_Staging_Execution","**Art Flow:** Install the ""Austin Local"" gallery wall at 57"" on-center (eye level).","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1069","Setup_Execution","03_Furniture_and_Staging_Execution","**Clearance:** Ensure zero obstructions in the 158"" run to maintain the ""Grand Scale"" visual.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1070","Setup_Execution","03_Furniture_and_Staging_Execution","**Desk Placement:** Position the desk to face the window; ensure the 50"" TV (mounted in Phase 1) is visible for ""second-screen"" utility.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\03_Furniture_and_Staging_Execution\2026-04-01__Staging_Execution_Log__v1.md","Granular task from checklist"
"TASK-1071","Setup_Execution","06_Content_and_Media_Preparation","**Sofa:** High-texture throw blankets draped ""casually"" over the L-sectional.","Not Started","UNKNOWN","None","Owner","04_Setup_Execution\06_Content_and_Media_Preparation\2026-04-01__Photography_Media_Prep_Checklist__v1.md","Granular task from checklist"
