Room,Item,Quantity,Vendor,Estimated_Cost,Actual_Cost,Status,Design_Spec_Reference,Source_File,Notes
Great Room,Arched Floor Lamp,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,Vertical balance moment
Great Room,Smart Soundbar,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,Sonos equivalent
Kitchen,Large Island Pendants,3,Retail (New),,,Needed,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,Scaled to 142" island
Kitchen,Dual-Bin Trash/Recycling,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,STR standard
Den,48" Desk,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,Built-in feel corner unit
Den,Ergonomic Task Chair,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,Upholstered performance chair
Den,8x10 High-Pile Rug,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,Sound absorption priority
Secondary Bedroom 2,Queen Bed Frame,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,MCM or Modern Rustic
Secondary Bedroom 2,Queen Mattress,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,Hybrid preferred
Secondary Bedroom 2,Storage Bench,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,Foot of bed
Secondary Bedroom 2,Swing-Arm Sconces,2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,Brushed Gold/Brass finish
